iData,roiFileName,roiHemi,conName,mean_activation
26,Striatum,L,stop_as_right_vs_no_signal_slow,1.50163869725333
27,Striatum,L,stop_as_right_vs_no_signal_slow,0.201561256829235
28,Striatum,L,stop_as_right_vs_no_signal_slow,0.843584852086173
29,Striatum,L,stop_as_right_vs_no_signal_slow,5.01875811152988
30,Striatum,L,stop_as_right_vs_no_signal_slow,-1.40315078033341
1,preSMA,L,stop_as_right_vs_no_signal_slow,1.89248690485954
2,preSMA,L,stop_as_right_vs_no_signal_slow,0.496627562642097
3,preSMA,L,stop_as_right_vs_no_signal_slow,5.65673952102661
4,preSMA,L,stop_as_right_vs_no_signal_slow,4.16786264419556
5,preSMA,L,stop_as_right_vs_no_signal_slow,1.72033667206764
6,preSMA,L,stop_as_right_vs_no_signal_slow,-2.33523527145386
7,preSMA,L,stop_as_right_vs_no_signal_slow,1.76323583245277
8,preSMA,L,stop_as_right_vs_no_signal_slow,0.999351350665093
9,preSMA,L,stop_as_right_vs_no_signal_slow,0.820679510235786
10,preSMA,L,stop_as_right_vs_no_signal_slow,1.83982435941696
11,preSMA,L,stop_as_right_vs_no_signal_slow,1.42994247436523
12,preSMA,L,stop_as_right_vs_no_signal_slow,2.65073204040527
13,preSMA,L,stop_as_right_vs_no_signal_slow,1.8553914642334
